City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,62.47,65,100,5.28,overcast clouds
1,Carnarvon,AU,-24.8667,113.6333,75.27,88,0,6.91,clear sky
2,Saskylakh,RU,71.9167,114.0833,-34.37,100,98,3.74,overcast clouds
3,Luanda,AO,-8.8368,13.2343,79.97,81,85,10.71,overcast clouds
4,Broome,US,42.2506,-75.833,43.66,64,0,1.99,clear sky
5,Inza,RU,53.8533,46.3586,7.12,92,93,11.21,overcast clouds
6,Mananjary,MG,-21.2167,48.3333,75.24,92,98,2.68,light rain
7,Puerto Ayora,EC,-0.7393,-90.3518,82.36,85,72,5.99,broken clouds
8,Provideniya,RU,64.3833,-173.3,19.51,68,0,38.01,clear sky
9,Yerbogachen,RU,61.2767,108.0108,-15.79,99,83,6.38,broken clouds
10,Denpasar,ID,-8.65,115.2167,78.46,88,20,4.61,few clouds
11,Svetlogorsk,BY,52.6333,29.7333,18.5,67,3,10.65,clear sky
12,Shache,CN,38.4167,77.2406,49.71,22,68,5.79,broken clouds
13,Sosnovo-Ozerskoye,RU,52.5249,111.5418,-11.56,98,7,0.22,clear sky
14,Portree,GB,57.4129,-6.1942,42.53,78,11,18.9,few clouds
15,Japura,ID,-0.3167,102.35,73.13,99,99,1.07,overcast clouds
16,Hays,US,30.0502,-98.0336,73.31,38,0,1.01,clear sky
17,Hobart,AU,-42.8794,147.3294,58.26,65,75,9.22,broken clouds
18,Busselton,AU,-33.65,115.3333,70.61,52,66,9.89,broken clouds
19,Yellowknife,CA,62.456,-114.3525,0.41,65,93,15.99,overcast clouds
20,Chokurdakh,RU,70.6333,147.9167,-16.92,100,96,6.13,overcast clouds
21,Hermanus,ZA,-34.4187,19.2345,66.79,83,0,10.78,clear sky
22,Shingu,JP,33.7333,135.9833,46.6,69,90,4.54,overcast clouds
23,Rongcheng,CN,30.634,117.8517,61.92,72,86,2.98,overcast clouds
24,Mar Del Plata,AR,-38.0023,-57.5575,67.87,62,0,6.91,clear sky
25,Albany,US,42.6001,-73.9662,43.21,72,87,2.73,overcast clouds
26,Codrington,AU,-38.2667,141.9667,60.04,64,71,6.98,broken clouds
27,Butaritari,KI,3.0707,172.7902,80.55,82,64,16.53,light rain
28,Venlo,NL,51.3667,6.1667,50.72,44,2,1.01,clear sky
29,Marsa Matruh,EG,31.3525,27.2453,53.51,63,69,24.94,broken clouds
30,Asau,RO,46.4333,26.4,22.95,78,100,8.3,overcast clouds
31,Ancud,CL,-41.8697,-73.8203,61.23,79,30,5.7,scattered clouds
32,Ushuaia,AR,-54.8,-68.3,49.66,66,0,9.22,clear sky
33,Berlevag,NO,70.8578,29.0864,39.2,70,0,33.38,clear sky
34,Mahanoro,MG,-19.9,48.8,74.95,93,98,3.04,light rain
35,Jamestown,US,42.097,-79.2353,41.52,44,20,8.05,few clouds
36,Waingapu,ID,-9.6567,120.2641,78.24,89,54,3.51,broken clouds
37,Caxias,PT,38.7031,-9.2767,59.92,89,75,21.85,broken clouds
38,Luderitz,NA,-26.6481,15.1594,72.03,69,91,2.33,overcast clouds
39,Shelburne,CA,44.0787,-80.2041,29.91,70,99,7.74,overcast clouds
40,Owando,CG,-0.4819,15.8999,70.47,97,100,1.45,overcast clouds
41,Puerto Madryn,AR,-42.7692,-65.0385,61.79,57,78,17.05,broken clouds
42,Santo Domingo,DO,18.5001,-69.9886,82.08,78,75,1.99,broken clouds
43,Quirinopolis,BR,-18.4483,-50.4517,75.58,69,60,4.81,broken clouds
44,Victoria,HK,22.2855,114.1577,68.32,79,0,8.01,clear sky
45,Lubumbashi,CD,-11.6609,27.4794,62.73,97,85,3.4,light rain
46,Rognan,NO,67.0953,15.3878,41.14,83,100,8.3,overcast clouds
47,Makungu,TZ,-8.7333,35.2833,64.04,98,100,2.62,overcast clouds
48,Castro,BR,-24.7911,-50.0119,66.99,94,92,1.74,moderate rain
49,Caravelas,BR,-17.7125,-39.2481,77.5,80,44,5.28,scattered clouds
50,General Pico,AR,-35.6566,-63.7568,72.7,33,22,5.84,few clouds
51,Severo-Kurilsk,RU,50.6789,156.125,30.15,94,100,17.72,light snow
52,Olga,RU,43.7444,135.2892,34.12,89,66,4.09,broken clouds
53,Chuy,UY,-33.6971,-53.4616,68.99,79,100,14.25,light rain
54,Haimen,CN,23.1935,116.6142,63.07,79,0,3.65,clear sky
55,Bella Union,UY,-30.2752,-57.6007,68.4,94,100,5.46,overcast clouds
56,Banjar,ID,-8.19,114.9675,76.66,91,88,3.87,overcast clouds
57,Yurla,RU,59.3259,54.3223,-7.65,100,67,2.13,broken clouds
58,Kapaa,US,22.0752,-159.319,81.48,69,0,6.91,clear sky
59,Mehamn,NO,71.0357,27.8492,39.15,70,75,28.77,broken clouds
60,Sitka,US,57.0531,-135.33,42.69,70,100,12.66,light rain
61,Hofn,IS,64.2539,-15.2082,44.55,94,100,28.95,moderate rain
62,Namatanai,PG,-3.6667,152.4333,81.46,74,100,2.44,overcast clouds
63,Cape Town,ZA,-33.9258,18.4232,68.11,70,0,7.36,clear sky
64,Saldanha,ZA,-33.0117,17.9442,64.13,89,0,9.48,clear sky
65,Tiarei,PF,-17.5333,-149.3333,86.02,74,67,13.0,light rain
66,Kodiak,US,57.79,-152.4072,42.31,87,100,5.75,overcast clouds
67,Bredasdorp,ZA,-34.5322,20.0403,66.29,84,0,8.41,clear sky
68,Atasu,KZ,48.6814,71.6433,20.23,90,100,9.28,overcast clouds
69,Aklavik,CA,68.2191,-135.0107,-6.83,89,100,8.93,overcast clouds
70,Dikson,RU,73.5069,80.5464,-13.38,99,79,13.18,broken clouds
71,Nikolskoye,RU,59.7035,30.7861,23.72,86,21,6.93,few clouds
72,San Patricio,US,28.017,-97.5169,69.19,70,100,7.18,overcast clouds
73,Vostok,RU,46.4856,135.8833,22.89,95,50,5.97,scattered clouds
74,Sharjah,AE,25.3573,55.4033,82.38,46,0,5.75,clear sky
75,Ishinomaki,JP,38.4167,141.3,39.38,82,47,4.25,scattered clouds
76,Dargaville,NZ,-35.9333,173.8833,73.62,50,1,8.59,clear sky
77,Cidreira,BR,-30.1811,-50.2056,75.06,90,92,6.82,overcast clouds
78,Olafsvik,IS,64.8945,-23.7142,38.8,92,100,15.14,overcast clouds
79,Flinders,AU,-34.5833,150.8552,67.05,79,66,5.99,broken clouds
80,Avarua,CK,-21.2078,-159.775,84.25,79,75,9.22,broken clouds
81,Pochutla,MX,15.7432,-96.4661,88.83,47,1,10.0,clear sky
82,Ahipara,NZ,-35.1667,173.1667,71.73,66,42,9.64,scattered clouds
83,Bengkulu,ID,-3.8004,102.2655,75.94,89,100,4.47,overcast clouds
84,Kaitangata,NZ,-46.2817,169.8464,66.92,59,64,6.24,broken clouds
85,Zeya,RU,53.75,127.2667,17.74,80,100,7.74,overcast clouds
86,Saquena,PE,-4.6667,-73.5167,79.02,92,80,1.19,broken clouds
87,Rikitea,PF,-23.1203,-134.9692,78.64,70,11,7.43,few clouds
88,Orotukan,RU,62.2667,151.7,1.47,96,100,3.02,overcast clouds
89,Porto Novo,BJ,6.4965,2.6036,83.48,80,100,10.18,overcast clouds
90,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,65,100,14.05,overcast clouds
91,Hasaki,JP,35.7333,140.8333,39.6,68,100,12.1,overcast clouds
92,New Norfolk,AU,-42.7826,147.0587,57.92,58,3,2.95,clear sky
93,Usinsk,RU,65.9939,57.5281,3.09,93,100,20.0,overcast clouds
94,Lesnoy,RU,57.6198,63.0784,-16.69,100,73,3.94,broken clouds
95,Clyde River,CA,70.4692,-68.5914,-18.83,86,27,4.12,scattered clouds
96,Sao Filipe,CV,14.8961,-24.4956,71.82,70,14,12.44,few clouds
97,Matamoros,MX,25.5333,-103.25,84.31,4,20,0.0,few clouds
98,Ribeira Grande,PT,38.5167,-28.7,58.23,60,100,22.57,overcast clouds
99,Amarante Do Maranhao,BR,-5.5667,-46.7422,73.89,95,99,3.22,light rain
100,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,73,0,11.5,clear sky
101,Saint-Philippe,RE,-21.3585,55.7679,76.59,86,39,7.74,scattered clouds
102,Moranbah,AU,-22.0016,148.0466,77.23,79,8,11.39,clear sky
103,Punta Arenas,CL,-53.15,-70.9167,59.11,67,75,16.11,broken clouds
104,Bathsheba,BB,13.2167,-59.5167,79.41,69,40,20.71,scattered clouds
105,At-Bashi,KG,41.1702,75.8106,23.94,55,99,4.63,overcast clouds
106,Cherskiy,RU,68.75,161.3,10.24,78,100,6.91,overcast clouds
107,Saint George,US,37.1041,-113.5841,49.42,27,75,13.0,broken clouds
108,Yar-Sale,RU,66.8333,70.8333,-16.28,100,93,6.98,overcast clouds
109,Adrar,MR,20.5022,-10.0711,69.71,10,0,11.74,clear sky
110,Longyearbyen,SJ,78.2186,15.6401,21.04,68,75,13.8,broken clouds
111,Solnechnyy,RU,50.7214,136.6319,20.53,96,100,4.23,snow
112,Mount Gambier,AU,-37.8333,140.7667,51.71,87,45,0.0,scattered clouds
113,La Libertad,EC,-2.2333,-80.9,82.06,78,0,9.22,clear sky
114,Navirai,BR,-23.065,-54.1906,74.48,85,93,7.34,light rain
115,Rocha,UY,-34.4833,-54.3333,66.49,71,100,12.95,overcast clouds
116,Upernavik,GL,72.7868,-56.1549,-12.35,98,80,3.04,broken clouds
117,Georgetown,MY,5.4112,100.3354,80.53,89,20,2.3,few clouds
118,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,34.39,60,75,13.42,broken clouds
119,Asyut,EG,27.181,31.1837,54.5,33,0,9.22,clear sky
120,Bluff,NZ,-46.6,168.3333,62.8,69,100,10.98,overcast clouds
121,Faanui,PF,-16.4833,-151.75,81.12,71,39,12.68,light rain
122,Kulu,TR,39.0951,33.0799,27.1,88,100,18.32,light snow
123,Nelson Bay,AU,-32.7167,152.15,71.01,92,47,1.01,light rain
124,Port Lincoln,AU,-34.7333,135.8667,62.82,79,22,11.14,few clouds
125,Nueva Loja,EC,0.0847,-76.8828,73.42,100,100,4.61,heavy intensity rain
126,Vaini,TO,-21.2,-175.2,78.96,89,75,6.91,thunderstorm
127,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.1,74,91,9.86,overcast clouds
128,Bethel,US,41.3712,-73.414,46.89,64,97,1.01,overcast clouds
129,Sabang,ID,5.8933,95.3214,82.17,73,95,7.74,light rain
130,Qaanaaq,GL,77.484,-69.3632,-4.83,66,100,2.39,overcast clouds
131,Atar,MR,20.5169,-13.0499,74.61,11,0,9.4,clear sky
132,Barrow,US,71.2906,-156.7887,-12.98,70,0,6.91,clear sky
133,Airai,TL,-8.9266,125.4092,59.4,91,60,2.08,broken clouds
134,Taltal,CL,-25.4,-70.4833,68.99,75,27,6.35,scattered clouds
135,Tuktoyaktuk,CA,69.4541,-133.0374,-12.95,96,100,6.15,overcast clouds
136,Bara,NG,10.3744,10.7288,82.4,18,94,9.42,overcast clouds
137,Cap-Aux-Meules,CA,47.3821,-61.8597,31.48,83,19,16.84,few clouds
138,Evensk,RU,61.95,159.2333,18.46,74,51,11.41,broken clouds
139,Zaysan,KZ,47.4667,84.8667,23.94,95,91,3.4,light snow
140,Deder,ET,9.3167,41.45,60.33,42,97,4.99,overcast clouds
141,Werda,BW,-25.2667,23.2833,75.85,53,79,6.2,broken clouds
142,Kualakapuas,ID,-3.0091,114.3876,73.78,98,73,0.74,broken clouds
143,Lorengau,PG,-2.0226,147.2712,81.54,74,95,1.9,overcast clouds
144,Krasnoslobodsk,RU,48.7072,44.5714,15.62,92,75,8.95,broken clouds
145,Atuona,PF,-9.8,-139.0333,78.75,73,25,16.73,scattered clouds
146,Torbay,CA,47.6666,-52.7314,32.58,78,86,13.0,overcast clouds
147,Mount Isa,AU,-20.7333,139.5,82.17,26,27,6.91,scattered clouds
148,Bambous Virieux,MU,-20.3428,57.7575,78.22,85,13,7.7,few clouds
149,Yekaterinoslavka,RU,50.3734,129.1139,14.86,96,49,8.32,scattered clouds
150,Kruisfontein,ZA,-34.0033,24.7314,64.99,90,0,4.59,clear sky
151,Pevek,RU,69.7008,170.3133,11.88,67,1,11.07,clear sky
152,Fortuna,US,40.5982,-124.1573,60.85,63,0,14.97,clear sky
153,Cabo San Lucas,MX,22.8909,-109.9124,76.6,47,20,11.5,few clouds
154,Thompson,CA,55.7435,-97.8558,7.18,84,100,11.25,overcast clouds
155,Tasiilaq,GL,65.6145,-37.6368,22.44,88,100,15.99,snow
156,Tahoua,NE,14.8888,5.2692,82.58,16,7,11.88,clear sky
157,Mecca,SA,21.4267,39.8261,73.71,83,27,6.87,scattered clouds
158,Kamareddi,IN,18.3167,78.35,75.0,41,40,3.4,scattered clouds
159,Isangel,VU,-19.55,169.2667,82.53,70,59,3.4,broken clouds
160,Constitucion,CL,-35.3333,-72.4167,67.21,61,1,16.98,clear sky
161,Aksu,CN,41.1231,80.2644,47.44,38,71,6.58,broken clouds
162,Toora-Khem,RU,52.4675,96.11,10.18,97,100,3.04,overcast clouds
163,Piacabucu,BR,-10.4056,-36.4344,79.45,79,54,9.75,broken clouds
164,Pangkalanbuun,ID,-2.6833,111.6167,73.4,99,75,2.44,broken clouds
165,Kidal,ML,18.4411,1.4078,77.79,12,23,9.22,few clouds
166,Dingle,PH,10.9995,122.6711,75.24,94,79,6.64,broken clouds
167,Ossora,RU,59.2353,163.0719,16.68,85,30,6.35,scattered clouds
168,Ulaanbaatar,MN,47.9077,106.8832,17.73,57,40,2.24,scattered clouds
169,Yulara,AU,-25.2406,130.9889,62.44,39,26,4.61,scattered clouds
170,Biak,ID,-0.9131,122.8766,76.44,87,48,0.56,scattered clouds
171,Anadyr,RU,64.75,177.4833,19.9,49,0,15.66,clear sky
172,Posse,BR,-14.0931,-46.3694,75.54,65,100,3.31,overcast clouds
173,Dukat,RU,62.55,155.55,8.19,97,100,0.85,overcast clouds
174,Slave Lake,CA,55.2834,-114.769,8.62,70,92,8.72,overcast clouds
175,Dalbandin,PK,28.8947,64.4101,72.99,30,28,3.2,scattered clouds
176,Felipe Carrillo Puerto,MX,19.5833,-88.05,89.11,43,11,8.75,few clouds
177,Okitipupa,NG,6.5047,4.7839,80.71,85,95,2.71,overcast clouds
178,Bendigo,AU,-36.7667,144.2833,59.86,63,0,8.01,clear sky
179,Tighina,MD,46.8306,29.4711,21.97,55,31,15.59,scattered clouds
180,Bubaque,GW,11.2833,-15.8333,75.51,73,83,19.24,broken clouds
181,Marawi,PH,7.9986,124.2928,69.42,94,65,3.11,broken clouds
182,Nanortalik,GL,60.1432,-45.2371,9.75,73,1,8.25,clear sky
183,Lakes Entrance,AU,-37.8811,147.981,58.15,74,4,4.18,clear sky
184,Katsuura,JP,35.1333,140.3,54.59,65,82,8.1,broken clouds
185,Middle Island,US,40.8843,-72.9373,46.89,72,0,6.91,clear sky
186,Bud,US,39.447,-86.1758,50.9,49,25,1.41,scattered clouds
187,Ouadda,CF,8.0777,22.4007,74.39,19,57,2.15,broken clouds
188,Gumia,IN,23.7833,85.8167,68.99,26,0,6.33,clear sky
189,Vozhega,RU,60.4725,40.2213,14.86,95,100,4.94,overcast clouds
190,Mayo,US,38.8876,-76.5119,50.67,63,0,5.75,clear sky
191,Vila Velha,BR,-20.3297,-40.2925,78.75,83,20,6.91,few clouds
192,Riverdale,US,33.5726,-84.4133,70.93,66,20,11.5,few clouds
193,Nouadhibou,MR,20.931,-17.0347,67.98,64,0,20.71,clear sky
194,Faya,SA,18.3851,42.4509,62.71,54,50,4.34,scattered clouds
195,Oktyabrskoye,RU,43.0645,44.7417,28.54,80,95,13.42,light snow
196,Mahebourg,MU,-20.4081,57.7,79.09,89,40,3.44,scattered clouds
197,Honningsvag,NO,70.9821,25.9704,39.61,81,99,39.37,overcast clouds
198,Tual,ID,-5.6667,132.75,83.61,69,90,4.14,heavy intensity rain
199,Geraldton,AU,-28.7667,114.6,64.81,59,5,6.91,clear sky
200,Poso,ID,-1.3959,120.7524,77.22,84,43,3.71,moderate rain
201,Castres,FR,43.5833,2.1667,53.42,81,0,27.63,clear sky
202,Pisco,PE,-13.7,-76.2167,73.45,73,0,19.57,light rain
203,Dalnegorsk,RU,44.5604,135.5701,29.71,94,59,4.54,broken clouds
204,Fort Nelson,CA,58.8053,-122.7002,9.99,44,100,6.91,overcast clouds
205,Phangnga,TH,8.4509,98.5298,77.04,91,94,2.62,overcast clouds
206,Araouane,ML,18.9048,-3.5265,75.16,10,5,11.79,clear sky
207,Huangchuan,CN,32.1272,115.0394,61.3,62,2,4.34,clear sky
208,Verkhovazhye,RU,60.7472,42.0465,17.04,96,100,5.61,overcast clouds
209,Port Elizabeth,ZA,-33.918,25.5701,64.69,94,0,0.0,clear sky
210,Cozumel,MX,20.5083,-86.9458,84.27,76,40,13.0,scattered clouds
211,Saint-Joseph,RE,-21.3667,55.6167,75.58,84,22,7.74,few clouds
212,Hilo,US,19.7297,-155.09,82.13,72,40,11.5,scattered clouds
213,Ust-Ordynskiy,RU,52.805,104.7508,9.52,93,97,5.06,overcast clouds
214,Esperance,AU,-33.8667,121.9,62.08,78,99,12.08,overcast clouds
215,Arlit,NE,18.7369,7.3853,73.8,20,2,7.58,clear sky
216,Mashhad,IR,36.297,59.6062,64.54,55,40,6.91,scattered clouds
217,Ilulissat,GL,69.2167,-51.1,-16.76,94,74,5.97,broken clouds
218,Tezu,IN,27.9167,96.1667,68.54,26,41,4.7,scattered clouds
219,Lodja,CD,-3.4833,23.4333,70.95,98,99,2.86,light rain
220,Dunedin,NZ,-45.8742,170.5036,63.81,72,24,3.0,few clouds
221,Husavik,IS,66.0449,-17.3389,37.47,87,100,10.4,overcast clouds
222,Narsaq,GL,60.9167,-46.05,5.22,78,0,4.92,clear sky
223,Korla,CN,41.7597,86.1469,48.27,33,2,9.22,clear sky
224,Isiro,CD,2.7739,27.616,76.98,54,100,1.41,overcast clouds
